,original_index,context,labels,prompts,gold,q_flan-t5-small,q_flan-t5-base,q_flan-t5-large,q_flan-t5-xl,q_flan-t5-xxl,q_flan-ul2,q_text-ada-001,q_text-babbage-001,q_text-curie-001,q_text-davinci-001,q_text-davinci-002,q_text-davinci-003,q_chatgpt
10,4355,"premise: Dylan hadnt remotely lost his energy or motivation or enthusiasm to continue, and my latest escapade was only the tip of the iceberg where his temper was concerned.

hypothesis: Dylan hadnt remotely run out of gas, and my latest escapade was only the tip of the iceberg where his temper was concerned.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,c,b,b,b,b,a,a,c,a,b,b,b,c
11,4512,"premise: They're terrified of me because I do not attack in the most peaceful way possible or where the victim is least vulnerable.

hypothesis: They're terrified of me because I go for the jugular.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,b,b,b,b,a,a,a,c,a,b,b,a,b
12,3347,"premise: You know how this place is; it's a situation where some behavior or action will eventually lead to a better form of the same behavior or action or a positive outcome.

hypothesis: You know how this place is; it's a slippery slope to the bottom.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,c,b,b,b,a,b,a,c,a,b,b,b,b
13,4698,"premise: When it comes to the most essential and important part of it, I'm flat-out lazy.

hypothesis: When it gets right down to the nuts and bolts of it, I'm flat-out lazy.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,a,c,b,b,a,a,a,c,a,b,a,a,b
14,562,"premise: You can't wait for even a short amount of time,' Dad smirked at me.

hypothesis: ,'You can wait till the cows come home', Dad smirked at me”",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,b,c,d,c,c,c,a,c,a,a,a,a,a
15,5870,"premise: I told her almost everything, including my reticence about seeing this work of literature be celebrated and treated in an extremely proper manner which was vanity publishing.

hypothesis: I told her almost everything, including my reticence about seeing this work of literature go through the mill which was vanity publishing.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,a,c,b,b,a,b,a,c,a,b,b,b,b
16,5127,"premise: As Peter entered through the door teary eyed, Mom sighed When I am very much alive, I don't want any elaborate funeral services in my honor, OK?.

hypothesis: As Peter entered through the door teary eyed, Mom sighed When I go west, I don't want any elaborate funeral services in my honor, OK?",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,a,c,b,c,c,a,a,c,a,b,a,a,c
17,1600,"premise: Jack continued to try really hard and put in a lot of effort of reading and writing, but his glance drifted slightly.

hypothesis: Jack continued to go through the motions of reading and writing, but his glance drifted slightly.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,a,d,b,b,d,a,a,c,a,b,d,d,b
18,7493,"premise: We went the full distance to portland, even though the brunswick mall is only a half-hour away.

hypothesis: We go all the way to portland, even though the brunswick mall is only a half-hour away.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,a,b,b,b,d,a,a,c,a,a,b,a,a
19,4887,"premise: And if things get really bad, I'm a predator.

hypothesis: And when push comes to shove, I'm a predator.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,a,b,b,b,a,a,a,c,a,b,b,b,b
20,5999,"premise: There are definitely other ways to interpret it.

hypothesis: There are no two ways about it.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,c,c,b,c,c,a,a,c,a,a,a,a,b
21,5006,"premise: A lot of them were here, because a free meal is not worth their time or trouble.

hypothesis: A lot of them were here, because a free meal is not to be sneezed at.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,a,c,b,c,c,c,a,c,a,a,a,a,c
22,4314,"premise: You need to remember before you go all maintaining the same personality on us again.

hypothesis: You need to remember before you go all jekyll and hyde on us again.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,b,c,b,b,a,b,a,c,a,b,b,a,c
23,4308,"premise: We will, gentlemen, not succeed or fail together on this, because we are too closely linked to do anything else.

hypothesis: We will, gentlemen, sink or swim together on this, because we are too closely linked to do anything else.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,b,c,b,b,a,a,a,c,a,b,b,b,b
24,6650,"premise: Forget and do not take into consideration that I said great, not decent enough to be mentioned in a Dominican pride flyer.

hypothesis: Bear in mind that I said great, not decent enough to be mentioned in a Dominican pride flyer.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,a,c,b,c,c,c,a,c,a,b,c,a,a
25,5816,"premise: Daniel came by each morning and her aunt reported that she was feeling completely fine and healthy and resting in bed.

hypothesis: Daniel came by each morning and her aunt reported that she was feeling under the weather and resting in bed.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,b,b,d,c,c,a,a,d,a,b,a,a,b
26,4989,"premise: He knows how to dangle half-truths in front of cops and das and get them to disagree with him.

hypothesis: He knows how to dangle half-truths in front of cops and das and get them to sign on the dotted line.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,b,c,a,c,c,a,a,d,a,b,d,a,b
27,4034,"premise: fitting for the new arrival, she's very energetic and vivacious.

hypothesis: fitting for the new arrival, she's full of beans.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,b,b,b,b,a,d,a,c,a,a,a,a,b
28,1879,"premise: He now is out of town for 3 months with no contact, thus, I always had this sneaking suspicion that he is deceiving us all.

hypothesis: He now is out of town for 3 months with no contact, thus, I always had this sneaking suspicion that he is taking us all for a ride.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,a,b,b,b,a,c,a,c,a,b,b,b,b
29,2380,"premise: I wanted him to stop with all of that and just relax and have fun tonight.

hypothesis: I wanted him to stop with all of that and just cut loose tonight.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,a,c,b,b,a,a,a,c,a,b,a,a,b
30,6673,"premise: Barb leaves, you can't deal with it, so you let out your anger and frustration at her and the company she works for.

hypothesis: Barb leaves, you cant deal with it, so you vent your spleen at her and the company she works for.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,b,c,a,b,b,a,a,d,a,b,b,a,c
31,2772,"premise: He was trying to downplay this.

hypothesis: He was struggling to make light of this.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,a,c,b,c,d,a,a,c,a,b,b,a,a
32,4970,"premise: I think we should be bound by old, nonfunctional, or limiting structures, rules, or practices - Philip said and the others just stared at him.

hypothesis: I think we should think outside the box - Philip said and the others just stared at him.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,a,c,b,b,c,a,a,c,a,b,b,a,a
33,1286,"premise: Jon explained that marley and josh had started to work extremely hard without taking any breaks.

hypothesis: Jon explained that marley and josh had started to burn the candle at both ends.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,b,b,b,b,a,a,a,c,a,b,a,a,b
34,2284,"premise: Once we commit to a significant response, it needs to fail.

hypothesis: Once we commit to a significant response, it needs to bear fruit.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,b,b,b,c,c,a,a,c,a,b,b,a,b
35,5954,"premise: Why not give it a try, he said with a wink, whats to lose?

hypothesis: Why not give it a whirl, he said with a wink, whats to lose?",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,a,c,b,b,a,a,a,c,a,a,a,a,a
36,6235,"premise: I hope that, as neighbours, we may live long in peace and amity, and in the rare exchange of any sort of assistance which should subsist between us.

hypothesis: I hope that, as neighbours, we may live long in peace and amity, and in the interchange of those good offices which should subsist between us.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,a,b,b,d,d,a,a,c,a,b,d,a,b
37,5705,"premise: We were in complete chaos and disorder.

hypothesis: Everything at sixes and sevens.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,b,c,b,b,a,a,a,c,a,a,a,a,b
38,750,"premise: I swear to God that I am telling the truth

hypothesis: cross my heart.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,b,b,b,b,a,a,a,c,a,b,a,a,b
39,6372,"premise: You must not have been good enough for her to run so fast.

hypothesis: You must not have been up to snuff for her to run so fast.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,b,b,b,b,d,a,a,c,a,b,b,a,b
40,428,"premise: That opportunity may be completely over.

hypothesis: That opportunity may be dead in the water.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,c,b,b,b,a,a,a,c,a,a,b,a,a
41,6651,"premise: After a couple of more songs, a familiar-looking blonde girl that had been trying to get my attention all night asked me to play lips of an angel.

hypothesis: After a couple of more songs, a familiar-looking blonde girl that had been trying to catch my eye all night asked me to play lips of an angel.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,a,b,b,b,d,d,a,d,a,b,a,a,a
42,3556,"premise: My hips and buttocks are quite narrow.

hypothesis: l am getting a little broad in the beam .",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,b,b,b,c,d,d,a,c,a,b,b,a,b
43,7051,"premise: Now do you remember Mr. Richfield suggesting you go really enjoy yourself without worrying about being proper or dignified?

hypothesis: Now do you remember Mr. Richfield suggesting you go really let your hair down?",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,b,c,b,b,a,a,a,c,a,a,a,a,b
44,4140,"premise: If it were possible to witness the clandestine and illegal transactions that would doom them all in the end.

hypothesis: If it were possible to witness the under the table transactions that would doom them all in the end.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,a,c,b,b,a,a,a,c,a,b,b,a,b
45,9,"premise: She gets to waste her days sucking back tequila and lorazepam and here you are, still struggling to not earn a salary.

hypothesis: She gets to waste her days sucking back tequila and lorazepam and here you are, still struggling to bring home the bacon.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,b,c,d,b,d,c,a,c,a,b,a,a,b
46,2458,"premise: We start with all the young dudes, a song that julian and I managed to convince the other lads to play, confident that it would be very well received by everyone.

hypothesis: We start with all the young dudes, a song that julian and I managed to convince the other lads to play, confident that it would go down a storm.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,a,b,b,b,a,a,a,d,a,b,b,a,b
47,141,"premise: He stood there one more minute before shoving himself to begin running the rest of the way up the stairs in a steadfast manner.

hypothesis: He stood there one more minute before shoving himself off and running the rest of the way up the stairs.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,a,b,d,b,d,a,a,c,a,b,b,d,b
48,1519,"premise: She'd learned to be frugal, and not to receive courage or comfort in the face of her personal solitude.

hypothesis: She'd learned to be frugal, and take heart in the face of her personal solitude.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,b,c,d,c,c,a,a,c,a,b,b,a,b
49,7093,"premise: You can wait for an indefinite amount of time,' Dad smirked at me.

hypothesis: ,'You can wait till the cows come home', Dad smirked at me”",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,b,c,b,c,a,c,a,c,a,a,a,a,c
50,5217,"premise: Or perhaps her imagination had truly gone awry.

hypothesis: Or perhaps her imagination had truly run amok.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,a,b,b,b,a,a,a,c,a,b,b,a,c
51,5787,"premise: If that's the case, then I need to prepare to pursue this challenge.

hypothesis: In that case, game on.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,a,d,b,b,a,a,a,c,a,b,a,a,a
52,6360,"premise: Zoe eldritch was not at all fazed or perturbed.

hypothesis: Zoe eldritch did not bat an eye.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,b,c,d,b,a,a,a,c,a,a,a,a,b
53,194,"premise: Help yourself out by falling in love with just one boy.

hypothesis: do yourself a favor and fall in love with just one boy.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,a,b,b,b,d,a,a,c,a,b,a,a,b
54,7091,"premise: Then the self destructive instincts; oh I can stop now.

hypothesis: Then the self destructive instincts; oh I can go on and on.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,a,c,d,c,c,c,a,c,a,b,b,a,a
55,4079,"premise: Lady godolphin would have to get smart quickly, it was time to neither fail miserably nor succeed greatly.

hypothesis: Lady godolphin would have to wise up quickly, it was time to sink or swim.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,b,c,b,b,a,a,a,c,a,b,a,a,b
56,877,"premise: But then the paper would not find out about your bigamist marriage.

hypothesis: But then the paper would get wind of your bigamist marriage.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,a,c,b,c,c,a,a,c,a,b,b,a,b
57,3774,"premise: I felt scared about what I might not see each time we turned a corner.

hypothesis: I felt scared about what I might lay eyes on each time we turned a corner.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,a,d,b,d,a,a,a,c,a,b,b,a,d
58,1391,"premise: She wore a kind of smoky violet lipstick, so unattractive it was not worth living for.

hypothesis: She wore a kind of smoky violet lipstick, to die for.”",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,a,c,b,c,c,d,a,c,a,b,b,b,a
59,7053,"premise: Uncle Sven would not even get slightly upset if he found out I spend my evenings drinking with negroes, but quite frankly I don't care.

hypothesis: Uncle sven would go spare if he found out I spend my evenings drinking with negroes, but quite frankly I don't care.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,b,c,b,c,c,a,a,c,a,a,a,c,b
60,1895,"premise: He enjoyed his job, even though it was not very exciting or special.

hypothesis: He enjoyed his job, even though it was nothing to write home about.”",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,b,b,b,b,a,a,a,c,a,b,d,a,b
61,4156,"premise: As reports trickle in from the scattered settlements, it becomes clear that the varangian military training is beginning to yield results.

hypothesis: As reports trickle in from the scattered settlements, it becomes clear that the varangian military training is beginning to bear fruit.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,b,b,b,b,d,d,a,c,a,b,b,b,a
62,6884,"premise: Being a revisionist was a tough assignment for someone that was now being told to follow every life direction precisely and without deviating.

hypothesis: Being a revisionist was a tough assignment for someone that was now being told to follow every life direction to the letter.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,a,d,b,b,a,a,a,c,a,b,b,a,a
63,2000,"premise: A wish that was only granted if a number of conditions or restrictions or obligations were met, as long as the judge approved it.

hypothesis: A wish with no strings attached whatsoever, as long as the judge approved it.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,a,c,b,c,c,a,a,d,a,b,d,a,b
64,4538,"premise: I hope your situation is out of control.

hypothesis: I hope your situation is in hand.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,a,c,d,c,c,c,a,c,a,a,a,a,a
65,610,"premise: The tears both cheered her up and made her feel worse at the same time.

hypothesis: The tears cut both ways.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,a,b,b,b,a,b,a,c,a,b,a,a,b
66,5384,"premise: Come on, you lazy bones, get out of bed!

hypothesis: Come on, you lazy bones, show a leg !",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,b,c,d,c,d,a,a,c,a,a,a,a,b
67,4944,"premise: She knew that she and River were getting really close, and she didn't want her to get pregnant, so the pills were a very easy choice.

hypothesis: She knew that she and River were getting really close, and she didn't want to her to get pregnant, so the pills were a no brainer.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,a,c,d,b,a,a,a,c,a,b,b,a,a
68,1818,"premise: Then the self destructive instincts; oh I can keep going.

hypothesis: Then the self destructive instincts; oh I can go on and on.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,a,d,b,b,d,a,a,c,a,b,b,a,b
69,3712,"premise: He would eliminate the opportunity for his charming episode with her and let her go.

hypothesis: He would shut the door on his charming episode with her and let her go.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,c,d,b,b,d,a,a,c,a,a,b,a,b
70,4618,"premise: Does anyone want to share the cost evenly?

hypothesis: Anyone want to go halves?",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,b,d,b,a,a,a,a,c,a,b,a,a,b
71,3668,"premise: Then the amnesty in the unsuccessful and helpless session.

hypothesis: Then the amnesty in the lame duck session.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,b,c,d,b,a,a,a,c,a,b,b,a,b
72,5026,"premise: With rapid and impulsive movements, he edged across the finely-fitted hardwood floor towards the place of fire.

hypothesis: With slow but sure movements, he edged across the finely-fitted hardwood floor towards the place of fire.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,a,c,d,d,d,a,a,c,a,b,d,d,b
